id_1,rede_1,nome_1,id_2,rede_2,nome_2,distancia_km,estado
134,Bluefit,República do Líbano,1151,Smartfit,Setor Oeste,0.068,Goiás
134,Bluefit,República do Líbano,2105,Panobianco,SETOR OESTE,0.34,Goiás
137,Bluefit,Setor Coimbra,1150,Smartfit,Goiânia Baixo Bueno,0.308,Goiás
138,Bluefit,Estação da Moda,1988,Panobianco,MEGA POLO,0.984,Goiás
139,Bluefit,Av. Milão,1147,Smartfit,Goiânia Eldorado,0.082,Goiás
140,Bluefit,Ceilândia,1213,Smartfit,Ceilândia Norte,0.327,Distrito Federal
143,Bluefit,Av. Universitária,1430,Skyfit,ANÁPOLIS (GO),0.311,Goiás
144,Bluefit,Cidade Rio Verde,1140,Smartfit,Havan Rio Verde,0.0,Goiás
149,Bluefit,Graça,212,Selfit,BARRA (CHAME-CHAME),0.851,Bahia
150,Bluefit,Caminho das Árvores,228,Selfit,CAMINHO DAS ÁRVORES,0.791,Bahia
150,Bluefit,Caminho das Árvores,268,Selfit,ILHÉUS,0.291,Bahia
150,Bluefit,Caminho das Árvores,428,BodyTech,SHOPPING DA BAHIA,0.817,Bahia
150,Bluefit,Caminho das Árvores,1254,Smartfit,Salvador Shopping,0.133,Bahia
151,Bluefit,Barreiras,215,Selfit,BARREIRAS,0.941,Bahia
157,Bluefit,Palmas Sul,1654,Skyfit,PALMAS SUL (TO),0.509,Tocantins
159,Bluefit,Av. CPA,415,BodyTech,PANTANAL SHOPPING,0.483,Mato Grosso
161,Bluefit,Santa Rosa,256,Selfit,ESTAÇÃO CUIABÁ,0.722,Mato Grosso
161,Bluefit,Santa Rosa,389,BodyTech,GOIABEIRAS SHOPPING,0.372,Mato Grosso
162,Bluefit,Maceió,327,Selfit,PONTA VERDE,0.773,Alagoas
162,Bluefit,Maceió,1297,Smartfit,Ponta Verde,0.413,Alagoas
167,Bluefit,Campina Grande,229,Selfit,CAMPINA GRANDE,0.741,Paraíba
168,Bluefit,Epitacio Pessoa,357,Selfit,TIMON,0.545,Paraíba
168,Bluefit,Epitacio Pessoa,1328,Smartfit,Epitácio,0.717,Paraíba
169,Bluefit,Tambaú Orla,1329,Smartfit,Tambaú,0.782,Paraíba
170,Bluefit,Manaíra - Liv Mall,288,Selfit,MAG SHOPPING,0.516,Paraíba
170,Bluefit,Manaíra - Liv Mall,1331,Smartfit,Manaíra Shopping,0.67,Paraíba
171,Bluefit,Aldeota,341,Selfit,SCOPA PLATINUM,0.666,Ceará
171,Bluefit,Aldeota,1379,Smartfit,Rui Barbosa,0.969,Ceará
171,Bluefit,Aldeota,1382,Smartfit,Vicente Linhares,0.465,Ceará
171,Bluefit,Aldeota,1386,Smartfit,José Lourenço,0.733,Ceará
172,Bluefit,Varanda,189,Selfit,ALDEOTA,0.65,Ceará
172,Bluefit,Varanda,318,Selfit,PÁTIO DOM LUÍS,0.255,Ceará
172,Bluefit,Varanda,1384,Smartfit,Barbosa de Freitas,0.631,Ceará
172,Bluefit,Varanda,1385,Smartfit,Santos Dumont,0.594,Ceará
172,Bluefit,Varanda,1388,Smartfit,Meireles,0.417,Ceará
173,Bluefit,Batista Campos,305,Selfit,NAZARÉ,0.981,Pará
173,Bluefit,Batista Campos,1394,Smartfit,Pátio Belém,0.28,Pará
175,Bluefit,Doca,202,Selfit,ASSIS,0.635,Pará
175,Bluefit,Doca,305,Selfit,NAZARÉ,0.994,Pará
175,Bluefit,Doca,1395,Smartfit,Boulevard,0.439,Pará
176,Bluefit,Cidade Nova,473,Pratique Fitness,Nova Floresta,0.893,Minas Gerais
176,Bluefit,Cidade Nova,1096,Smartfit,Supernosso Cidade Nova,0.289,Minas Gerais
177,Bluefit,Augusto Montenegro,1448,Skyfit,AUGUSTO MONTENEGRO – BELÉM (PA),0.351,Pará
178,Bluefit,Adrianópolis - pré venda,261,Selfit,GLICÉRIO,0.944,Amazonas
178,Bluefit,Adrianópolis - pré venda,365,Selfit,VIEIRALVES,0.862,Amazonas
178,Bluefit,Adrianópolis - pré venda,1402,Smartfit,Jardim Amazonas,0.866,Amazonas
180,Bluefit,Av. Darcy Vargas,290,Selfit,MANAUS PLAZA SHOPPING,0.484,Amazonas
180,Bluefit,Av. Darcy Vargas,1405,Smartfit,Amazonas Shopping,0.173,Amazonas
182,Bluefit,Village,1413,Smartfit,Isaura Parente,0.658,Acre
